link,text,category,product,year
https://www.paspaley.com/jewellery/pearl-earrings/megisti-lapis-hoop-earrings,MEGISTI LAPIS HOOP EARRINGS,earrings,megisti-lapis-hoop-earrings,2021
https://www.paspaley.com/jewellery/pearl-earrings/megisti-lapis-earrings,MEGISTI LAPIS EARRINGS,earrings,megisti-lapis-earrings,2021
https://www.paspaley.com/jewellery/pearl-earrings/touchstone-dew-drop-earrings-white-gold,Touchstone Dew Drop Earrings - White Gold,earrings,touchstone-dew-drop-earrings-white-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/megisti-turquoise-hoop-earrings,MEGISTI TURQUOISE HOOP EARRINGS,earrings,megisti-turquoise-hoop-earrings,2021
https://www.paspaley.com/jewellery/pearl-earrings/megisti-pink-opal-earrings,MEGISTI PINK OPAL EARRINGS,earrings,megisti-pink-opal-earrings,2021
https://www.paspaley.com/jewellery/pearl-earrings/megisti-turquoise--earrings,MEGISTI TURQUOISE  EARRINGS,earrings,megisti-turquoise--earrings,2021
https://www.paspaley.com/jewellery/pearl-earrings/maxima-opal-chandelier-earring-enhancer,Maxima Opal Chandelier Earring Enhancer,earrings,maxima-opal-chandelier-earring-enhancer,2021
https://www.paspaley.com/jewellery/pearl-earrings/boronia-earrings,Boronia Earrings,earrings,boronia-earrings,2021
https://www.paspaley.com/jewellery/pearl-earrings/touchstone-dew-drop-earrings--yellow-gold,Touchstone Dew Drop Earrings -  Yellow Gold,earrings,touchstone-dew-drop-earrings--yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/lavalier-noir-earrings-rose-gold,Lavalier Noir Earrings - Rose Gold,earrings,lavalier-noir-earrings-rose-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/lavalier-noir-earrings-black-opal,Lavalier Noir Earrings - Black Opal,earrings,lavalier-noir-earrings-black-opal,2021
https://www.paspaley.com/jewellery/pearl-earrings/lavalier-noir-diamond-hero-earrings,Lavalier Noir Diamond Hero Earrings,earrings,lavalier-noir-diamond-hero-earrings,2021
